,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
330,Kuldeep Yadav,3,0,15,2,5.00,9,0,1,1,0
331,Umesh Yadav,1,0,6,0,6.00,3,1,0,0,0
332,Kulwant Khejroliya,1.2,0,20,0,15.00,2,3,0,0,1
333,Andre Russell,1,0,12,0,12.00,3,2,0,0,1
334,Sunil Narine,4,0,36,0,9.00,7,6,0,1,0
335,Varun Chakravarthy,4,1,16,2,4.00,14,2,0,0,0
336,Anukul Roy,4,0,19,2,4.75,13,2,0,2,0
337,Nitish Rana,4,0,17,2,4.25,10,1,0,0,0
338,Akash Singh,3,0,17,1,5.66,10,1,1,0,0
339,Tushar Deshpande,3,0,26,0,8.66,7,4,0,1,0
340,Maheesh Theekshana,4,0,27,1,6.75,5,2,0,0,0
341,Moeen Ali,2,0,18,0,9.00,2,1,1,0,0
342,Ravindra Jadeja,4,0,22,3,5.50,8,1,0,0,0
343,Matheesha Pathirana,4,0,22,1,5.50,9,2,0,1,0
344,Bhuvneshwar Kumar,2,0,10,0,5.00,7,1,0,0,0
345,Marco Jansen,3,0,37,0,12.33,5,6,1,0,0
346,Aiden Markram,1,0,11,0,11.00,2,2,0,0,0
347,Washington Sundar,2.4,0,16,0,6.00,4,1,0,0,0
348,Mayank Markande,4,0,23,2,5.75,8,2,0,0,0
349,Umran Malik,3,0,18,0,6.00,8,2,0,0,0
350,Mayank Dagar,3,0,21,0,7.00,5,2,0,0,0
351,Naveen-ul-Haq,4,0,19,1,4.75,12,1,0,0,0
352,Krunal Pandya,4,0,16,2,4.00,13,1,0,0,0
353,Avesh Khan,3,0,21,0,7.00,6,2,0,0,0
354,Ravi Bishnoi,4,0,49,0,12.25,4,4,3,0,0
355,Marcus Stoinis,3,0,20,2,6.66,7,1,1,0,0
356,Amit Mishra,2,0,9,1,4.50,4,0,0,0,0
357,Mohammed Shami,3,1,18,0,6.00,9,3,0,0,0
358,Jayant Yadav,4,0,26,0,6.50,8,2,0,0,0
359,Rashid Khan,4,0,33,1,8.25,9,4,1,0,0
360,Mohit Sharma,3,0,17,2,5.66,5,1,0,0,0
361,Noor Ahmad,4,0,18,2,4.50,13,1,0,0,0
362,Hardik Pandya,1,0,7,0,7.00,2,1,0,0,0
363,Rahul Tewatia,1,0,8,0,8.00,4,0,1,1,0
364,Arjun Tendulkar,3,0,48,1,16.00,4,6,2,4,1
365,Jason Behrendorff,3,0,41,1,13.66,6,2,4,1,0
366,Cameron Green,4,0,41,2,10.25,9,2,4,0,0
367,Jofra Archer,4,0,42,1,10.50,8,3,3,1,0
368,Piyush Chawla,3,0,15,2,5.00,12,2,0,1,0
369,Hrithik Shokeen,3,0,24,0,8.00,7,1,1,0,1
370,Matthew Short,1,0,7,0,7.00,3,1,0,1,0
371,Arshdeep Singh,4,0,29,4,7.25,12,2,2,1,0
372,Harpreet Brar,2,0,15,0,7.50,5,1,1,0,0
