,BATTING,Dismissal,R,B,M,4s,6s,SR
664,Ruturaj Gaikwad,st € Sharma b Sikandar Raza,37,31,47,4,1,119.35
665,Devon Conway,not out,92,52,103,16,1,176.92
666,Shivam Dube,c Shahrukh Khan b Arshdeep Singh,28,17,23,1,2,164.7
667,Moeen Ali,st € Sharma b Chahar,10,6,12,2,0,166.66
668,Ravindra Jadeja,c Livingstone b Curran,12,10,15,0,0,120
669,MS Dhoni ,not out,13,4,8,0,2,325
670,Prabhsimran Singh,st € Dhoni b Jadeja,42,24,41,4,2,175
671,Shikhar Dhawan ,c Pathirana b Deshpande,28,15,24,4,1,186.66
672,Atharva Taide,c & b Jadeja,13,17,26,0,0,76.47
673,Liam Livingstone,c Gaikwad b Deshpande,40,24,38,1,4,166.66
674,Sam Curran,b Pathirana,29,20,36,1,1,145
675,Jitesh Sharma ,c sub (SK Rasheed) b Deshpande,21,10,21,2,1,210
676,M Shahrukh Khan,not out,2,3,21,0,0,66.66
677,Sikandar Raza,not out,13,7,9,1,0,185.71
678,Yashasvi Jaiswal,c & b Arshad Khan,124,62,112,16,8,200
679,Jos Buttler,c sub (Ramandeep Singh) b Chawla,18,19,40,2,1,94.73
680,Sanju Samson ,c Tilak Varma b Arshad Khan,14,10,15,1,1,140
681,Devdutt Padikkal,b Chawla,2,4,6,0,0,50
682,Jason Holder,c David b Archer,11,9,18,0,1,122.22
683,Shimron Hetmyer,c Yadav b Arshad Khan,8,9,14,0,1,88.88
684,Dhruv Jurel,c Tilak Varma b Meredith,2,3,6,0,0,66.66
685,Ravichandran Ashwin,not out,8,5,20,1,0,160
686,Trent Boult,not out,0,0,4,0,0,-
687,Rohit Sharma ,b Sandeep Sharma,3,5,12,0,0,60
688,Ishan Kishan ,c Boult b Ashwin,28,23,44,4,0,121.73
689,Cameron Green,c Boult b Ashwin,44,26,47,4,2,169.23
690,Suryakumar Yadav,c Sandeep Sharma b Boult,55,29,49,8,2,189.65
691,Tilak Varma,not out,29,21,63,3,1,138.09
692,Tim David,not out,45,14,27,2,5,321.42
693,Virat Kohli,st € Pooran b Ravi Bishnoi,31,30,42,3,0,103.33
694,Faf du Plessis ,c Pandya b Mishra,44,40,83,1,1,110
695,Anuj Rawat,c Mayers b Gowtham,9,11,13,0,0,81.81
696,Glenn Maxwell,lbw b Ravi Bishnoi,4,5,8,0,0,80
697,Suyash Prabhudessai,c Gowtham b Mishra,6,7,10,0,0,85.71
698,Dinesh Karthik ,run out (Yash Thakur),16,11,25,1,1,145.45
699,Mahipal Lomror,lbw b Naveen-ul-Haq,3,4,7,0,0,75
700,Wanindu Hasaranga,not out,8,7,14,1,0,114.28
701,Karn Sharma,c Gowtham b Naveen-ul-Haq,2,2,5,0,0,100
702,Mohammed Siraj,c € Pooran b Naveen-ul-Haq,0,1,3,0,0,0
703,Josh Hazlewood,not out,1,2,3,0,0,50
704,Kyle Mayers,c Anuj Rawat b Mohammed Siraj,0,2,3,0,0,0
705,Ayush Badoni,c Kohli b Hazlewood,4,11,23,0,0,36.36
706,Krunal Pandya,c Kohli b Maxwell,14,11,17,3,0,127.27
707,Deepak Hooda,st € Karthik b de Silva,1,2,13,0,0,50
